Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Pakistan,PAK,Net migration,SM.POP.NETM,0,-66991,-65780,-64552,-63298,-62070,-61025,-59932,-58721,-57406,-58281,-68357,-69209,-58012,-34785,-1710,48238,85250,111386,450003,1078229,555032,294252,-4753,-319242,68860,111045,146364,38139,-17164,275242,-19668,-718387,-139493,-277100,11534,-60855,-55539,-112191,-134510,252869,-54727,-653758,-219118,-64669,-189899,-183933,576349,-140746,-18298,-431902,-890633,-1647989,-1906319,-2037920,-2172162,-2290411,-1574585,-1309611,-1177220,-559291,-565673,-1322625,-1619557,-1401173
India,IND,Net migration,SM.POP.NETM,146955,295177,-70514,21640,-141916,-248299,-566982,-70314,-995416,-851844,233782,-974574,-82816,-404743,347869,434205,275984,590626,-210444,774094,210914,33243,-10687,119694,-32313,-89991,-249545,-219150,-155676,-2907,125514,-157911,35155,2364,-375253,-57297,-26388,880,-1049,-95320,-143960,-70346,-732419,-606970,-206660,-929454,-342177,-1037200,-1020047,-312905,-50905,-247017,-198935,-151372,-227263,-655085,81248,-251642,-589794,-978969,-73806,-348916,-1353478,-979179,-630830
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
